race_season,driver_id,driver_fullname,num_races,wins,top_5,top_10,finish_2_5,finish_6_10,lead_lap_finishes,total_laps_led,total_laps,avg_starting_position,avg_finishing_position,avg_diff_laps,avg_diff_time_sec,avg_diff_time_min,pct_laps_led,team_name,num_accidents,most_likely_dnf_cause
2014,34,Justin Allgaier,36,0,1,1,0,0,36,16,10541,25.22222222222222,25.22222222222222,0.0,0.0,0.0,0.0015178825538373969,Rick Ware Racing,6,Accident
2014,40,Aric Almirola,36,1,2,7,1,5,36,23,10541,19.13888888888889,21.444444444444443,0.0,0.0,0.0,0.002181956171141258,Legacy Motor Club,5,Accident
2014,49,Marcos Ambrose,36,0,3,7,3,4,36,50,10541,19.88888888888889,19.944444444444443,0.0,0.0,0.0,0.004743382980741865,Richard Petty Motorsports,0,Engine
2014,243,Greg Biffle,36,0,3,11,3,8,36,110,10541,18.72222222222222,16.444444444444443,0.0,0.0,0.0,0.010435442557632103,RFK Racing,1,Accident
2014,267,Dave Blaney,15,0,8,8,0,0,15,0,4671,17.866666666666667,17.466666666666665,0.0,0.0,0.0,0.0,Randy Humphrey Racing,0,Steering
2014,275,Mike Bliss,8,0,0,0,0,0,8,0,2553,38.75,40.875,0.0,0.0,0.0,0.0,Front Row Motorsports,0,Vibration
2014,339,Clint Bowyer,36,0,5,15,5,10,36,109,10541,15.805555555555555,17.13888888888889,0.0,0.0,0.0,0.010340574898017266,Premium Motorsports,2,Engine
2014,451,Jeff Burton,4,0,0,0,0,0,4,0,1272,25.25,22.25,0.0,0.0,0.0,0.0,Identity Ventures Racing,0,None
2014,453,Kurt Busch,36,1,6,11,5,5,36,220,10541,13.527777777777779,18.944444444444443,0.0,0.0,0.0,0.020870885115264207,Stewart-Haas Racing,4,Accident
2014,454,Kyle Busch,36,1,9,15,8,6,36,453,10541,13.13888888888889,17.583333333333332,0.0,0.0,0.0,0.0429750498055213,Joe Gibbs Racing,3,Accident
2014,694,Matt Crafton,1,0,1,1,0,0,1,0,160,0.0,0.0,0.0,0.0,0.0,0.0,RAB Racing,0,None
2014,915,Dale Earnhardt Jr,36,4,12,20,8,8,36,383,10541,16.13888888888889,12.194444444444445,0.0,0.0,0.0,0.036334313632482684,Hendrick Motorsports,2,Accident
2014,923,Carl Edwards,36,2,7,14,5,7,36,135,10541,13.527777777777779,15.055555555555555,0.0,0.0,0.0,0.012807134048003035,RFK Racing,2,Accident
2014,1202,David Gilliland,36,0,0,0,0,0,36,14,10541,31.02777777777778,28.833333333333332,0.0,0.0,0.0,0.0013281472346077221,Front Row Motorsports,3,Accident
2014,1237,Jeff Gordon,36,4,14,23,10,9,36,1083,10541,9.027777777777779,10.38888888888889,0.0,0.0,0.0,0.1027416753628688,Hendrick Motorsports,0,None
2014,1361,Denny Hamlin,35,1,7,18,6,11,35,363,10335,14.485714285714286,14.257142857142858,0.0,0.0,0.0,0.0351233671988389,Joe Gibbs Racing,2,Accident
2014,1416,Kevin Harvick,36,5,14,20,9,6,36,2137,10541,9.055555555555555,12.916666666666666,0.0,0.0,0.0,0.2027321885969073,Stewart-Haas Racing,1,Accident
