race_season,actual_champion,actual_champion_wins,race_season,actual_champion_team,actual_champion_team_wins
2014, Kevin Harvick,5,2014,Stewart-Haas Racing,6
2015, Kyle Busch,5,2015,Joe Gibbs Racing,14
2016, Jimmie Johnson,5,2016,Hendrick Motorsports,5
2017, Martin Truex Jr,8,2017,Furniture Row Racing,8
2018, Joey Logano,3,2018,Team Penske,3
2019, Kyle Busch,5,2019,Joe Gibbs Racing,19
2020, Chase Elliott,5,2020,Hendrick Motorsports,7
2021, Kyle Larson,10,2021,Hendrick Motorsports,17
2022, Joey Logano,4,2022,Team Penske,4
2023, Ryan Blaney,3,2023,Team Penske,3
2024, Joey Logano,4,2024,Team Penske,6
