result_id,series_id,race_season,race_id,race_date,race_name,track_id,track_name,actual_laps,car_number,driver_id,driver_fullname,team_id,team_name,finishing_position,diff_laps,diff_time,finishing_status,laps_completed,laps_led,starting_position
173870,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,1,2208,Jamie McMurray,1432,Chip Ganassi Racing,14,0,0,Running,200,0,22
173871,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,10,3929,Danica Patrick,2686,Stewart-Haas Racing,40,0,0,Accident,145,2,27
173872,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,11,1361,Denny Hamlin,1447,Joe Gibbs Racing,2,0,0,Running,200,16,4
173873,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,13,2215,Casey Mears,2482,Germain Racing,10,0,0,Running,200,0,28
173874,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,14,3193,Tony Stewart,2370,Stewart-Haas Racing,35,0,0,Running,174,0,21
173875,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,15,339,Clint Bowyer,2684,Premium Motorsports,42,0,0,Engine,127,0,20
173876,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,16,243,Greg Biffle,1506,RFK Racing,8,0,0,Running,200,8,25
173877,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,17,3888,Ricky Stenhouse Jr,1513,RFK Racing,7,0,0,Running,200,0,34
173878,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,18,454,Kyle Busch,1524,Joe Gibbs Racing,19,0,0,Running,200,19,37
173879,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,2,1816,Brad Keselowski,1547,Team Penske,3,0,0,Running,200,13,33
173880,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,20,1810,Matt Kenseth,1550,Joe Gibbs Racing,6,0,0,Running,200,0,3
173881,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,21,3883,Trevor Bayne,1560,Wood Brothers Racing,33,0,0,Accident,183,2,14
173882,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,22,3859,Joey Logano,2593,Team Penske,11,0,0,Running,200,2,35
173883,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,24,1237,Jeff Gordon,1581,Hendrick Motorsports,4,0,0,Running,200,0,6
173884,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,27,2225,Paul Menard,2595,Richard Childress Racing,32,0,0,Running,184,29,10
173885,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,30,3914,Parker Kligerman,2733,Swan Racing,29,0,0,Accident,193,0,41
173886,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,31,2394,Ryan Newman,1632,Richard Childress Racing,22,0,0,Running,199,0,19
173887,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,32,1893,Terry Labonte,2688,GO FAS Racing,20,0,0,Running,200,0,24
173888,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,33,3822,Brian Scott,2745,Circle Sport Racing,25,0,0,Running,196,0,12
173889,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,34,2674,David Ragan,1648,Front Row Motorsports,34,0,0,Running,176,0,43
173890,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,35,2160,Eric McClure,2734,Front Row Motorsports,0,0,0,,0,0,0
173891,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,36,3120,Reed Sorenson,2375,Tommy Baldwin Racing,16,0,0,Running,200,0,39
173892,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,38,1202,David Gilliland,2485,Front Row Motorsports,36,0,0,Running,171,0,17
173893,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,4,1416,Kevin Harvick,2766,Stewart-Haas Racing,13,0,0,Running,200,0,38
173894,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,41,453,Kurt Busch,2767,Stewart-Haas Racing,21,0,0,Running,199,15,8
173895,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,42,4030,Kyle Larson,1683,Chip Ganassi Racing,38,0,0,Accident,160,0,16
173896,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,43,40,Aric Almirola,1690,Legacy Motor Club,39,0,0,Accident,146,5,13
173897,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,47,3774,AJ Allmendinger,2377,JTG Daugherty Racing,26,0,0,Running,194,1,15
173898,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,48,1717,Jimmie Johnson,1707,Hendrick Motorsports,5,0,0,Running,200,15,32
173899,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,5,1772,Kasey Kahne,1717,Hendrick Motorsports,31,0,0,Running,192,2,5
173900,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,51,34,Justin Allgaier,1430,Rick Ware Racing,27,0,0,Accident,193,4,40
173901,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,55,3425,Brian Vickers,2592,Michael Waltrip Racing,30,0,0,Running,192,0,31
173902,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,78,3368,Martin Truex Jr,1801,Furniture Row Racing,43,0,0,Engine,30,0,2
173903,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,83,3952,Ryan Truex,2691,BK Racing,0,0,0,,0,0,0
173904,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,87,2384,Joe Nemechek,2489,Identity Ventures Racing,0,0,0,,0,0,0
173905,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,88,915,Dale Earnhardt Jr,2273,Hendrick Motorsports,1,0,0,Running,200,54,9
173906,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,9,49,Marcos Ambrose,1830,Richard Petty Motorsports,18,0,0,Running,200,0,7
173907,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,93,3002,Morgan Shepherd,2692,Nature Farms Racing,0,0,0,,0,0,0
173908,1,2014,4282,2014-02-23T13:00:00,Daytona 500,105,Daytona International Speedway,200,95,3832,Michael McDowell,2736,Leavine Family Racing,0,0,0,,0,0,0
