race_season,expected_champion_team,expected_wins,actual_champion_team,match
2014,Hendrick Motorsports,9.859989368118116,Stewart-Haas Racing,False
2015,Joe Gibbs Racing,10.844865591322646,Joe Gibbs Racing,True
2016,Joe Gibbs Racing,11.221185381185622,Hendrick Motorsports,False
2017,Joe Gibbs Racing,9.690232519718867,Furniture Row Racing,False
2018,Stewart-Haas Racing,11.63018075009552,Team Penske,False
2019,Joe Gibbs Racing,19.07885986138144,Joe Gibbs Racing,True
2020,Joe Gibbs Racing,11.819523237222253,Hendrick Motorsports,False
2021,Hendrick Motorsports,13.255704459213662,Hendrick Motorsports,True
2022,Hendrick Motorsports,10.442971031397642,Team Penske,False
2023,Joe Gibbs Racing,10.14704537505605,Team Penske,False
2024,Hendrick Motorsports,10.194313497069661,Team Penske,False
