race_season,expected_champion_team,expected_wins,actual_champion_team,match
2014,Hendrick Motorsports,3.879634436796256,Stewart-Haas Racing,False
2015,Stewart-Haas Racing,14.044552053191467,Joe Gibbs Racing,False
2016,Joe Gibbs Racing,8.919158888927695,Hendrick Motorsports,False
2017,Furniture Row Racing,17.051274833565273,Furniture Row Racing,True
2018,Stewart-Haas Racing,20.325299593007884,Team Penske,False
2019,Joe Gibbs Racing,14.103547109460814,Joe Gibbs Racing,True
2020,Stewart-Haas Racing,7.061246241745628,Hendrick Motorsports,False
2021,Hendrick Motorsports,26.74089265914253,Hendrick Motorsports,True
2022,Hendrick Motorsports,6.453253234511719,Team Penske,False
2023,Hendrick Motorsports,8.12605863984169,Team Penske,False
2024,Hendrick Motorsports,11.425561587787927,Team Penske,False
