race_season,team_name,actual_wins,expected_wins,model_type,model_id,win_diff,performance_diff,over_under
2014,Hendrick Motorsports,13,3.879634436796256,negbin,negbin_20250312_1325,9.120365563203745,9.120365563203745,Over
2015,Joe Gibbs Racing,14,5.696989496767866,negbin,negbin_20250312_1325,8.303010503232134,8.303010503232134,Over
2014,Team Penske,11,3.4399405449531857,negbin,negbin_20250312_1325,7.560059455046814,7.560059455046814,Over
2015,Hendrick Motorsports,9,2.3336915240559097,negbin,negbin_20250312_1325,6.66630847594409,6.66630847594409,Over
2019,Joe Gibbs Racing,19,14.103547109460814,negbin,negbin_20250312_1325,4.8964528905391855,4.8964528905391855,Over
2024,Team Penske,8,3.1725995998202334,negbin,negbin_20250312_1325,4.827400400179767,4.827400400179767,Over
2022,Hendrick Motorsports,11,6.453253234511719,negbin,negbin_20250312_1325,4.546746765488281,4.546746765488281,Over
2016,Team Penske,7,3.824483592630783,negbin,negbin_20250312_1325,3.175516407369217,3.175516407369217,Over
2016,Joe Gibbs Racing,12,8.919158888927695,negbin,negbin_20250312_1325,3.0808411110723046,3.0808411110723046,Over
2014,Stewart-Haas Racing,6,3.026580536504396,negbin,negbin_20250312_1325,2.973419463495604,2.973419463495604,Over
2020,Stewart-Haas Racing,10,7.061246241745628,negbin,negbin_20250312_1325,2.9387537582543724,2.9387537582543724,Over
2016,Hendrick Motorsports,5,2.204542308861969,negbin,negbin_20250312_1325,2.795457691138031,2.795457691138031,Over
2022,Richard Childress Racing,4,1.4348621197444063,negbin,negbin_20250312_1325,2.5651378802555937,2.5651378802555937,Over
2020,Hendrick Motorsports,7,4.4594108647523765,negbin,negbin_20250312_1325,2.5405891352476235,2.5405891352476235,Over
2020,Joe Gibbs Racing,9,6.935987646652452,negbin,negbin_20250312_1325,2.0640123533475476,2.0640123533475476,Over
2023,Hendrick Motorsports,10,8.12605863984169,negbin,negbin_20250312_1325,1.8739413601583106,1.8739413601583106,Over
2022,Team Penske,5,3.224806648666287,negbin,negbin_20250312_1325,1.775193351333713,1.775193351333713,Over
2023,Richard Childress Racing,3,1.2434165690538483,negbin,negbin_20250312_1325,1.7565834309461517,1.7565834309461517,Over
2023,Team Penske,4,2.282845443200302,negbin,negbin_20250312_1325,1.7171545567996982,1.7171545567996982,Over
2016,Furniture Row Racing,4,2.283708969517599,negbin,negbin_20250312_1325,1.716291030482401,1.716291030482401,Over
2022,Joe Gibbs Racing,6,4.495268902837241,negbin,negbin_20250312_1325,1.5047310971627592,1.5047310971627592,Over
2019,Hendrick Motorsports,4,2.527400894143759,negbin,negbin_20250312_1325,1.4725991058562409,1.4725991058562409,Over
2014,RFK Racing,2,0.5498294035722582,negbin,negbin_20250312_1325,1.4501705964277418,1.4501705964277418,Over
2015,Team Penske,7,5.567806975324983,negbin,negbin_20250312_1325,1.4321930246750174,1.4321930246750174,Over
2017,RFK Racing,2,0.6702448084192744,negbin,negbin_20250312_1325,1.3297551915807255,1.3297551915807255,Over
2021,Team Penske,5,3.682475287790631,negbin,negbin_20250312_1325,1.317524712209369,1.317524712209369,Over
2020,Team Penske,8,6.72636013549061,negbin,negbin_20250312_1325,1.2736398645093896,1.2736398645093896,Over
2023,RFK Racing,3,1.7370226922206666,negbin,negbin_20250312_1325,1.2629773077793334,1.2629773077793334,Over
2017,Hendrick Motorsports,4,2.755528823849872,negbin,negbin_20250312_1325,1.2444711761501281,1.2444711761501281,Over
2017,Richard Childress Racing,2,0.7931342071117855,negbin,negbin_20250312_1325,1.2068657928882145,1.2068657928882145,Over
2023,Trackhouse Racing,3,1.8228330367042123,negbin,negbin_20250312_1325,1.1771669632957877,1.1771669632957877,Over
2022,Stewart-Haas Racing,3,1.9313178916933942,negbin,negbin_20250312_1325,1.0686821083066058,1.0686821083066058,Over
2019,Spire Motorsports,1,0.02598964846671202,negbin,negbin_20250312_1325,0.974010351533288,0.974010351533288,Over
2024,Wood Brothers Racing,1,0.06556451087498309,negbin,negbin_20250312_1325,0.934435489125017,0.934435489125017,Over
2021,Kaulig Racing,1,0.07081491769488163,negbin,negbin_20250312_1325,0.9291850823051184,0.9291850823051184,Over
2024,23XI Racing,3,2.094615040164805,negbin,negbin_20250312_1325,0.9053849598351951,0.9053849598351951,Over
2024,Trackhouse Racing,2,1.1008792007026609,negbin,negbin_20250312_1325,0.8991207992973391,0.8991207992973391,Over
2014,JTG Daugherty Racing,1,0.10814795369041258,negbin,negbin_20250312_1325,0.8918520463095874,0.8918520463095874,Over
2021,Front Row Motorsports,1,0.11791315136511321,negbin,negbin_20250312_1325,0.8820868486348867,0.8820868486348867,Over
2014,Legacy Motor Club,1,0.1209808395704631,negbin,negbin_20250312_1325,0.8790191604295369,0.8790191604295369,Over
2021,23XI Racing,1,0.1539276171365643,negbin,negbin_20250312_1325,0.8460723828634357,0.8460723828634357,Over
2023,JTG Daugherty Racing,1,0.1624646666601474,negbin,negbin_20250312_1325,0.8375353333398526,0.8375353333398526,Over
2024,JTG Daugherty Racing,1,0.1724473304540376,negbin,negbin_20250312_1325,0.8275526695459624,0.8275526695459624,Over
2022,23XI Racing,2,1.1798692217551905,negbin,negbin_20250312_1325,0.8201307782448095,0.8201307782448095,Over
2016,Stewart-Haas Racing,6,5.186721280748157,negbin,negbin_20250312_1325,0.8132787192518434,0.8132787192518434,Over
2023,Front Row Motorsports,1,0.22145370291817648,negbin,negbin_20250312_1325,0.7785462970818235,0.7785462970818235,Over
2016,Front Row Motorsports,1,0.22860263881478177,negbin,negbin_20250312_1325,0.7713973611852183,0.7713973611852183,Over
2018,Hendrick Motorsports,3,2.2655437253232575,negbin,negbin_20250312_1325,0.7344562746767425,0.7344562746767425,Over
2023,Joe Gibbs Racing,8,7.301003138197962,negbin,negbin_20250312_1325,0.6989968618020379,0.6989968618020379,Over
2023,Kaulig Racing,1,0.32919931252851165,negbin,negbin_20250312_1325,0.6708006874714884,0.6708006874714884,Over
2022,Trackhouse Racing,3,2.3433548174542116,negbin,negbin_20250312_1325,0.6566451825457884,0.6566451825457884,Over
2024,Richard Childress Racing,1,0.4240813147244106,negbin,negbin_20250312_1325,0.5759186852755894,0.5759186852755894,Over
2022,Legacy Motor Club,1,0.4270873706807246,negbin,negbin_20250312_1325,0.5729126293192754,0.5729126293192754,Over
2017,Team Penske,4,3.453436765008533,negbin,negbin_20250312_1325,0.5465632349914671,0.5465632349914671,Over
2018,Richard Childress Racing,1,0.4609839575175528,negbin,negbin_20250312_1325,0.5390160424824473,0.5390160424824473,Over
2023,23XI Racing,2,1.4796001354038382,negbin,negbin_20250312_1325,0.5203998645961618,0.5203998645961618,Over
2017,Wood Brothers Racing,1,0.4903612525513937,negbin,negbin_20250312_1325,0.5096387474486064,0.5096387474486064,Over
2018,Team Penske,7,6.548631276862018,negbin,negbin_20250312_1325,0.45136872313798193,0.45136872313798193,Over
2022,RFK Racing,1,0.5779103036584246,negbin,negbin_20250312_1325,0.42208969634157545,0.42208969634157545,Over
2019,Team Penske,6,5.673043944633916,negbin,negbin_20250312_1325,0.3269560553660842,0.3269560553660842,Over
2020,Richard Childress Racing,1,0.7056206955363573,negbin,negbin_20250312_1325,0.2943793044636427,0.2943793044636427,Over
2014,Joe Gibbs Racing,2,1.7188411564345691,negbin,negbin_20250312_1325,0.28115884356543086,0.28115884356543086,Over
2016,Chip Ganassi Racing,1,0.7675323790098709,negbin,negbin_20250312_1325,0.23246762099012908,0.23246762099012908,Over
2021,Chip Ganassi Racing,1,0.801058924992113,negbin,negbin_20250312_1325,0.19894107500788705,0.19894107500788705,Over
2024,Stewart-Haas Racing,1,0.8304287692906721,negbin,negbin_20250312_1325,0.1695712307093279,0.1695712307093279,Over
2015,Furniture Row Racing,1,0.9727492616948129,negbin,negbin_20250312_1325,0.027250738305187094,0.027250738305187094,Over
2014,Nature Farms Racing,0,4.8029626881548095e-14,negbin,negbin_20250312_1325,-4.8029626881548095e-14,-4.8029626881548095e-14,Under
2020,Tommy Baldwin Racing,0,1.29374101739856e-13,negbin,negbin_20250312_1325,-1.29374101739856e-13,-1.29374101739856e-13,Under
2022,NY Racing Team,0,9.366161365356044e-13,negbin,negbin_20250312_1325,-9.366161365356044e-13,-9.366161365356044e-13,Under
2023,TMT Racing,0,3.1108604134262567e-12,negbin,negbin_20250312_1325,-3.1108604134262567e-12,-3.1108604134262567e-12,Under
2014,Beard Motorsports,0,1.0949603942638337e-11,negbin,negbin_20250312_1325,-1.0949603942638337e-11,-1.0949603942638337e-11,Under
2020,Beard Motorsports,0,2.0066332058621777e-11,negbin,negbin_20250312_1325,-2.0066332058621777e-11,-2.0066332058621777e-11,Under
2020,Motorsports Business Management,0,3.456335973079031e-11,negbin,negbin_20250312_1325,-3.456335973079031e-11,-3.456335973079031e-11,Under
2024,Power Source,0,2.956568445951509e-09,negbin,negbin_20250312_1325,-2.956568445951509e-09,-2.956568445951509e-09,Under
2016,Nature Farms Racing,0,0.0005159594883516502,negbin,negbin_20250312_1325,-0.0005159594883516502,-0.0005159594883516502,Under
2021,B.J. McLeod Motorsports,0,0.0005389565182031504,negbin,negbin_20250312_1325,-0.0005389565182031504,-0.0005389565182031504,Under
2014,Swan Racing,0,0.0006391536625951907,negbin,negbin_20250312_1325,-0.0006391536625951907,-0.0006391536625951907,Under
2024,Team AmeriVet,0,0.000775985597470931,negbin,negbin_20250312_1325,-0.000775985597470931,-0.000775985597470931,Under
2017,Motorsports Business Management,0,0.0019488920369142133,negbin,negbin_20250312_1325,-0.0019488920369142133,-0.0019488920369142133,Under
2014,Randy Humphrey Racing,0,0.002602405865549565,negbin,negbin_20250312_1325,-0.002602405865549565,-0.002602405865549565,Under
2018,Motorsports Business Management,0,0.003331241561201684,negbin,negbin_20250312_1325,-0.003331241561201684,-0.003331241561201684,Under
2019,Motorsports Business Management,0,0.003948182392062302,negbin,negbin_20250312_1325,-0.003948182392062302,-0.003948182392062302,Under
2018,Obaika Racing,0,0.005183485146794159,negbin,negbin_20250312_1325,-0.005183485146794159,-0.005183485146794159,Under
2020,B.J. McLeod Motorsports,0,0.005347430752377314,negbin,negbin_20250312_1325,-0.005347430752377314,-0.005347430752377314,Under
2020,StarCom Racing,0,0.005699470268237278,negbin,negbin_20250312_1325,-0.005699470268237278,-0.005699470268237278,Under
2015,NY Racing Team,0,0.005801119526911776,negbin,negbin_20250312_1325,-0.005801119526911776,-0.005801119526911776,Under
2014,Wood Brothers Racing,0,0.006060707964913913,negbin,negbin_20250312_1325,-0.006060707964913913,-0.006060707964913913,Under
2018,Phoenix Air Racing,0,0.006701814657571836,negbin,negbin_20250312_1325,-0.006701814657571836,-0.006701814657571836,Under
2020,Premium Motorsports,0,0.006903028745857437,negbin,negbin_20250312_1325,-0.006903028745857437,-0.006903028745857437,Under
2014,Circle Sport Racing,0,0.007316369854002946,negbin,negbin_20250312_1325,-0.007316369854002946,-0.007316369854002946,Under
2022,TMT Racing,0,0.007396989477312717,negbin,negbin_20250312_1325,-0.007396989477312717,-0.007396989477312717,Under
2018,NY Racing Team,0,0.007714201554989624,negbin,negbin_20250312_1325,-0.007714201554989624,-0.007714201554989624,Under
2014,Xxxtreme Motorsports,0,0.007840434161358585,negbin,negbin_20250312_1325,-0.007840434161358585,-0.007840434161358585,Under
2023,Live Fast Motorsports,0,0.0081752891663668,negbin,negbin_20250312_1325,-0.0081752891663668,-0.0081752891663668,Under
2016,Leavine Family Racing,0,0.008686168907974749,negbin,negbin_20250312_1325,-0.008686168907974749,-0.008686168907974749,Under
2019,XCI Racing,0,0.008715206563652756,negbin,negbin_20250312_1325,-0.008715206563652756,-0.008715206563652756,Under
2022,Beard Motorsports,0,0.00891496730419972,negbin,negbin_20250312_1325,-0.00891496730419972,-0.00891496730419972,Under
2015,GO FAS Racing,0,0.009045461681743429,negbin,negbin_20250312_1325,-0.009045461681743429,-0.009045461681743429,Under
2015,HScott Motorsports,0,0.010037414236472874,negbin,negbin_20250312_1325,-0.010037414236472874,-0.010037414236472874,Under
2020,Gaunt Brothers Racing,0,0.010171152702344125,negbin,negbin_20250312_1325,-0.010171152702344125,-0.010171152702344125,Under
2022,Live Fast Motorsports,0,0.010588708453457454,negbin,negbin_20250312_1325,-0.010588708453457454,-0.010588708453457454,Under
2021,StarCom Racing,0,0.011419142729946073,negbin,negbin_20250312_1325,-0.011419142729946073,-0.011419142729946073,Under
2014,NY Racing Team,0,0.011518698862278071,negbin,negbin_20250312_1325,-0.011518698862278071,-0.011518698862278071,Under
2019,Gaunt Brothers Racing,0,0.011852282099408029,negbin,negbin_20250312_1325,-0.011852282099408029,-0.011852282099408029,Under
2015,Leavine Family Racing,0,0.012214618501939518,negbin,negbin_20250312_1325,-0.012214618501939518,-0.012214618501939518,Under
2020,Spire Motorsports,0,0.012720315152171917,negbin,negbin_20250312_1325,-0.012720315152171917,-0.012720315152171917,Under
2016,HScott Motorsports,0,0.012766511591727077,negbin,negbin_20250312_1325,-0.012766511591727077,-0.012766511591727077,Under
2016,GO FAS Racing,0,0.01287856819554443,negbin,negbin_20250312_1325,-0.01287856819554443,-0.01287856819554443,Under
2014,Leavine Family Racing,0,0.013049780430469669,negbin,negbin_20250312_1325,-0.013049780430469669,-0.013049780430469669,Under
