race_season,expected_champion_driver,expected_wins,actual_champion,match
2014,Kevin Harvick,2.6223309015240885,Kevin Harvick,True
2015,Kevin Harvick,12.997760590710008,Kyle Busch,False
2016,Kyle Busch,4.393954557954837,Jimmie Johnson,False
2017,Martin Truex Jr,16.087980197967244,Martin Truex Jr,True
2018,Kevin Harvick,16.143217542390484,Joey Logano,False
2019,Kyle Busch,6.725551046241337,Kyle Busch,True
2020,Kevin Harvick,5.8500530580484895,Chase Elliott,False
2021,Kyle Larson,21.733805177327984,Kyle Larson,True
2022,Chase Elliott,2.73846858664822,Joey Logano,False
2023,Kyle Larson,3.7619302458275623,Ryan Blaney,False
2024,Kyle Larson,7.640380498623182,Joey Logano,False
