race_season,expected_champion_driver,expected_wins,actual_champion,match
2014,Kevin Harvick,6.106477144866604,Kevin Harvick,True
2015,Kevin Harvick,7.163936456816255,Kyle Busch,False
2016,Martin Truex Jr,4.860861339091454,Jimmie Johnson,False
2017,Martin Truex Jr,6.523180991717967,Martin Truex Jr,True
2018,Kevin Harvick,6.255098459017385,Joey Logano,False
2019,Kyle Busch,4.669630187033415,Kyle Busch,True
2020,Kevin Harvick,4.8209782758517665,Chase Elliott,False
2021,Kyle Larson,8.215907261381043,Kyle Larson,True
2022,Chase Elliott,3.241748366330497,Joey Logano,False
2023,Kyle Larson,4.055754954984185,Ryan Blaney,False
2024,Kyle Larson,5.545344653385757,Joey Logano,False
