race_season,team_name,actual_wins,expected_wins,model_type,model_id,win_diff,performance_diff,over_under
2021,Hendrick Motorsports,17,13.4680805,xgboost,xgboost_20250312_1021,3.531919479370117,3.531919479370117,Over
2020,Stewart-Haas Racing,10,6.7106705,xgboost,xgboost_20250312_1021,3.2893295288085938,3.2893295288085938,Over
2016,Hendrick Motorsports,5,2.4574113,xgboost,xgboost_20250312_1021,2.542588710784912,2.542588710784912,Over
2014,Team Penske,11,8.486614,xgboost,xgboost_20250312_1021,2.513385772705078,2.513385772705078,Over
2015,Joe Gibbs Racing,14,11.707876,xgboost,xgboost_20250312_1021,2.292123794555664,2.292123794555664,Over
2014,Hendrick Motorsports,13,10.917427,xgboost,xgboost_20250312_1021,2.0825729370117188,2.0825729370117188,Over
2023,Hendrick Motorsports,10,8.059403,xgboost,xgboost_20250312_1021,1.940596580505371,1.940596580505371,Over
2023,RFK Racing,3,1.3326473,xgboost,xgboost_20250312_1021,1.6673526763916016,1.6673526763916016,Over
2019,Stewart-Haas Racing,4,2.5212927,xgboost,xgboost_20250312_1021,1.4787073135375977,1.4787073135375977,Over
2017,RFK Racing,2,0.6165658,xgboost,xgboost_20250312_1021,1.3834341764450073,1.3834341764450073,Over
2017,Stewart-Haas Racing,3,1.9549563,xgboost,xgboost_20250312_1021,1.045043706893921,1.045043706893921,Over
2024,Richard Childress Racing,1,0.0053096167,xgboost,xgboost_20250312_1021,0.9946903833188117,0.9946903833188117,Over
2023,Richard Childress Racing,3,2.0081077,xgboost,xgboost_20250312_1021,0.9918923377990723,0.9918923377990723,Over
2023,Front Row Motorsports,1,0.037895195,xgboost,xgboost_20250312_1021,0.9621048048138618,0.9621048048138618,Over
2024,Team Penske,8,7.0609913,xgboost,xgboost_20250312_1021,0.9390087127685547,0.9390087127685547,Over
2016,Stewart-Haas Racing,6,5.1403594,xgboost,xgboost_20250312_1021,0.8596405982971191,0.8596405982971191,Over
2024,Stewart-Haas Racing,1,0.1463259,xgboost,xgboost_20250312_1021,0.8536740988492966,0.8536740988492966,Over
2024,JTG Daugherty Racing,1,0.20169033,xgboost,xgboost_20250312_1021,0.7983096688985825,0.7983096688985825,Over
2014,Legacy Motor Club,1,0.20265596,xgboost,xgboost_20250312_1021,0.7973440438508987,0.7973440438508987,Over
2018,Stewart-Haas Racing,12,11.267748,xgboost,xgboost_20250312_1021,0.7322521209716797,0.7322521209716797,Over
2022,Hendrick Motorsports,11,10.298309,xgboost,xgboost_20250312_1021,0.701690673828125,0.701690673828125,Over
2022,Trackhouse Racing,3,2.4004357,xgboost,xgboost_20250312_1021,0.5995643138885498,0.5995643138885498,Over
2021,Stewart-Haas Racing,1,0.43974212,xgboost,xgboost_20250312_1021,0.5602578818798065,0.5602578818798065,Over
2016,Joe Gibbs Racing,12,11.448405,xgboost,xgboost_20250312_1021,0.5515947341918945,0.5515947341918945,Over
2020,Hendrick Motorsports,7,6.4625273,xgboost,xgboost_20250312_1021,0.5374727249145508,0.5374727249145508,Over
2017,Team Penske,4,3.5155506,xgboost,xgboost_20250312_1021,0.4844493865966797,0.4844493865966797,Over
2020,Team Penske,8,7.535564,xgboost,xgboost_20250312_1021,0.46443605422973633,0.46443605422973633,Over
2022,Legacy Motor Club,1,0.5676071,xgboost,xgboost_20250312_1021,0.4323928952217102,0.4323928952217102,Over
2022,JTG Daugherty Racing,0,-0.21325469,xgboost,xgboost_20250312_1021,0.21325469017028809,0.21325469017028809,Over
2019,Hendrick Motorsports,4,3.7963915,xgboost,xgboost_20250312_1021,0.20360851287841797,0.20360851287841797,Over
2018,Team Penske,7,6.806058,xgboost,xgboost_20250312_1021,0.19394207000732422,0.19394207000732422,Over
