race_season,expected_champion_driver,expected_wins,actual_champion,match
2014,Kevin Harvick,4.068936620112532,Kevin Harvick,True
2015,Kevin Harvick,11.495254690827482,Kyle Busch,False
2016,Kevin Harvick,4.327147187847478,Jimmie Johnson,False
2017,Martin Truex Jr,9.088699529084002,Martin Truex Jr,True
2018,Kevin Harvick,9.25888581254255,Joey Logano,False
2019,Kyle Busch,6.256163559806876,Kyle Busch,True
2020,Denny Hamlin,4.354028317739516,Chase Elliott,False
2021,Kyle Larson,15.084826539203316,Kyle Larson,True
2022,Chase Elliott,2.4481165814797614,Joey Logano,False
2023,William Byron,3.1945856873432157,Ryan Blaney,False
2024,Kyle Larson,3.864799056945784,Joey Logano,False
